COMPANY NAME,Agent,Disposition,Remarks,HQ,links
"A1 Slovenija, d. d.",,,,,
A123 Systems Inc,,,,,
A2 ENGENHARIA E INCORPORACAO LTDA,,,,,
A4 Prime Properties AG,,,,,
AA HOLDINGS PTY LTD,,,,,
AAA,,,,,
AAA Canada Inc,,,,,
AAA Cooper Transportation,,,,,
AAA NCNU CLUB,,,,,
"AAC Holdings, Inc.",,,,,
"Aac Micro Tech (Changzhou) Co., Ltd.",,,,,
"AAC Precision Manufacturing Technology (Changzhou) Co., Ltd.",,,,,
"Aac Technologies Viet Nam Co.,Ltd.",,,,,
Aachi Masala Foods Pvt Ltd,,,,,
AACPS - Central Office,,,,,
Aadat Surya Beedi & Shervani Beedi Company,,,,,
AADC,,,,,
Aadheesh Texfab Private Limited,,,,,
AAG Energy Holdings Limited,,,,,
AAH Pharmaceuticals Ltd,,,,,
AAK AB,,,,,
Aakit Technologies Private Limited,,,,,
Aalberts hfc Holding BV,,,,,
Aalberts N.V.,,,,,
Aalborg Kommune,,,,,
Aalesund Enterprises Ltd. A/S,,,,,
Aalla Factory For Industrial,,,,,
AAM do Brasil,,,,,
AAM Eisenach Driveline GmbH,mermanalo,Scored,10,Germany,
"AAM International Holdings, Inc.",,,,,
"AAM Maquiladora Mexico, S",,,,,
Aannemingsmaatschappij van Gelder BV,,,,,
Aapc Japan K.K.,,,,,
AAPC Limited,,,,,
Aapico Hitech Public Company Limited,,,,,
"AAPICO MAIA, S.A.",,,,,
AAPICO STRUCTURAL PRODUCTS COMPANY LIMITED,,,,,
"AAR Government Services, Inc.",,,,,
Aar Tee Group Pte. Ltd.,,,,,
Aare Energie AG,,,,,
Aargauische Gebäudeversicherung,,,,,
Aarhuskarlshamn Latin America S.A.,,,,,
AARP,,,,,
AARP Foundation,,,,,
Aarqaam Capital,,,,,
Aarti International Limited,,,,,
AArtic Slope Regional Corporation,,,,,
Aartsen Breda BV,,,,,
Aasish Enterprise,,,,,
Aastar Trading Pte Ltd,,,,,
Aastra Technologies Limited,,,,,
Aava Terveyspalvelut Oy,,,,,
AAW (Ali Abdulwahab Al Mutawa),,,,,
AB Anders Löfberg,,,,,
AB Calsa SA de CV,,,,,
AB Cignux,,,,,
Ab Comercio De Insumos Ltda,,,,,
AB Concessoes S.A.,,,,,
AB Enzymes GmbH,,,,,
Ab Etiproducts Oy,,,,,
AB Familjebostäder,,,,,
Ab Food & Beverages (Thailand) Company Limited,,,,,
AB Food & Beverages (Thailand) Ltd.,,,,,
AB Food & Beverages Australia Pty Ltd,,,,,
AB Gustaf Kähr,,,,,
AB Gyllensvaans Möbler,,,,,
AB Holding Spa,,,,,
AB INBEV HOLDINGS EUROPE LIMITED,,,,,
AB INBEV UK FINANCE COMPANY LIMITED,,,,,
AB InBev UK Ltd,,,,,
Ab Karl Hedin Bygghandel,,,,,
AB Körsbärsbladet,,,,,
Ab Mauri Overseas Holdings Limited,,,,,
AB Persson Invest,,,,,
Ab Rani Plast Oy,,,,,
AB SA,,,,,
Ab Sciex Australia Pty Ltd,,,,,
AB SCIEX PTE. LTD.,,,,,
AB SERVICE SRL,,,,,
AB SERVICIOS SELECTA ESPAÑA SLU,,,,,
AB SKF,,,,,
AB Spiralspecialisten,,,,,
AB Stockholmshem,,,,,
AB Stokab,,,,,
AB Svenska Bostäder,,,,,
AB Tingstad Papper,,,,,
AB WORLD FOODS LIMITED,,,,,
AB WORLD FOODS PTY LTD,,,,,
AB ZEMAITIJOS PIENAS,,,,,
Aba Chemicals (Shanghai) Limited,,,,,
ABA Chemicals Corporation,,,,,
Aba Fashions Ltd.,,,,,
"ABABAKAFUDADO CO., LTD.",,,,,
ABACO INNOVAZIONE SPA,,,,,
Abacus Books And Card Corporation,,,,,
Abacus Parenteral Drugs Ltd,,,,,
"ABACUS, SDAD. COOP. CATALANA LIMITADA",,,,,
Abafoods S.r.l.,,,,,
"Abaga Banner Jindi Mining Co., Ltd.",,,,,
"Abaga Banner Pingan Mining Co., Ltd.",,,,,
ABALIOGLU HOLDING A.S.,,,,,
ABALIOGLU YAG SANAYI VE TICARET ANONIM SIRKETI,,,,,
ABAN HOLDINGS PTE. LTD.,,,,,
ABANCA Corporación Bancaria S.A.,,,,,
Abans International (Pvt) Limited,,,,,
Abans Jewels Limited,,,,,
Abantia Ticsa SA,,,,,
Abaqa International Pte. Ltd.,,,,,
Abarrotes Casa Vargas,,,,,
Abarrotes Monterrey SA de CV,,,,,
ABASHIRI CITY,,,,,
Abastecedora de Comercio Adelco Ltda.,,,,,
"Abastecedora de Fierro y Acero, S.A. de C.V.",,,,,
Abastecedores Pecuarios Lozano,,,,,
abat AG Advisory Team,,,,,
"ABB (China) Investment Co., Ltd.",mgleponio,Scored,10,Switzerland,
ABB AB,dionesro,Scored,6,Germany,
ABB Asea Brown Boveri Ltd Group Headquarters,mgleponio,Scored,10,Switzerland,
ABB AUSTRALIA PTY LIMITED,mgleponio,Scored,10,Switzerland,
Abb Automation And Electrification (Vietnam) Company Limited,mgleponio,Scored,10,Switzerland,
ABB Beteiligungs- und Verwaltungsgesellschaft mbH,mgleponio,Scored,10,Switzerland,
ABB Bulgaria EOOD,mgleponio,Scored,10,Switzerland,
ABB BV,mgleponio,Scored,10,Switzerland,
"Abb Installation Products Procesos de Manufactura, S. de R.L. de C.V.",mgleponio,Scored,10,Switzerland,
"ABB Korea Co., Ltd.",mgleponio,Scored,10,Switzerland,
"ABB MEDICION, S.A.",ksantos + mgleponio,Scored,8 + 2,,
ABB Oy Process Industry,mgleponio,Scored,10,Switzerland,
ABB S.p.A. Process Automation Division,mgleponio,Scored,10,Switzerland,
